[0, 0.08930475376674518]
[127, -1.7930175914485948]
[128, -2.1018362536667436]
[129, -2.685205822818411]
[130, -2.0560069565847847]
[131, -1.407920207569678]
[132, -0.7719320296513412]
[133, 0.08337267096184788]
[134, -0.48195617587304873]
[135, 0.4351036555680881]
[136, 0.053979701509141886]
[137, 0.03214826370439039]
[138, 0.47507517275037237]
[139, 0.3148045317451026]
[140, -0.18178213565755763]
[141, -0.04106282451101084]
[142, -0.27847879291243915]
[143, 0.09568403076974785]
[144, -0.48591507192690253]
[145, 0.322179413311001]
[146, -0.1720863724880947]
[147, -0.2398397747125268]
[148, -0.5715438251779714]
[149, -0.7505456041321342]
[150, -2.014736990988396]
[151, -3.3360108282346936]
[152, -5.461638074637893]
[153, -7.334165650397406]
[154, -8.48734359616087]
[155, -10.22721125490268]
[156, -10.448555355184569]
[157, -10.15514728311527]
[158, -8.930587076712877]
[159, -6.448053946554975]
[160, -4.278743414515523]
[161, -2.1786428523253374]
[162, -0.30472584835245475]
[163, -0.06653988342610334]
[164, 0.45509945929595297]
[165, -0.3707008627699796]
[166, 0.11740246466051996]
[167, -0.04536393696076457]
[168, -0.3930658375377055]
[169, -0.258380690177309]
[170, -0.17479150765252582]
[171, -0.16821372633550347]
[172, 0.1656680327366274]
[173, -0.39021753224397027]
[174, -0.18689415610040605]
[175, -0.20899129323644944]
[176, 0.8241732627245076]
[177, -0.48986778126714015]
[178, -3.2578574111606744]
[179, -9.229569907168623]
[180, -12.67494576099277]
[181, -14.846473407362993]
[182, -16.39350083175796]
[183, -17.57126292464253]
[184, -18.31456457053204]
[185, -18.3718151972482]
[186, -17.446870221492386]
[187, -14.031966166945558]
[188, -10.352121235545276]
[189, -5.114040647690974]
[190, -1.3763350487447912]
[191, 0.2807378486582165]
[192, 0.4077453661615973]
[193, 0.24538462493688273]
[194, -0.11803761127568535]
[195, -0.059427926997017266]
[196, -0.1291789634326892]
[197, -0.429364233470374]
[198, -0.019343660485566128]
[199, 0.42884215938420367]
[200, -0.47201110262772605]
[201, 0.6620151541148528]
[202, 1.0478230085111442]
[203, -0.30596349065400447]
[204, 0.36051947476042173]
[205, -4.796826807752653]
[206, -9.350723685368111]
[207, -16.215050326761133]
[208, -19.48412284953357]
[209, -22.411492527088466]
[210, -24.01613062338492]
[211, -24.455794119250076]
[212, -25.18012389031233]
[213, -25.09007198742071]
[214, -25.244035454204877]
[215, -23.1814939895127]
[216, -17.6491531522442]
[217, -9.22014116343674]
[218, -1.6585938319329676]
[219, 2.467760100399318]
[220, 0.48317499278215015]
[221, 0.20572109560666652]
[222, 0.03240091293413849]
[223, -0.3358871228372393]
[224, -0.2714002485940097]
[225, 0.06564884032073015]
[226, -0.10320955521078223]
[227, -0.011811556241557719]
[228, -0.3610804734197215]
[229, 0.6534430412331494]
[230, -0.7503472878925759]
[231, -3.7855795978909006]
[232, -4.997488076699447]
[233, -9.404461644429421]
[234, -16.43874752151613]
[235, -22.52519877521931]
[236, -24.51929902589802]
[237, -26.155914005409574]
[238, -27.206075612524337]
[239, -26.03645405429032]
[240, -27.327500000998537]
[241, -26.522980512112028]
[242, -26.822630797334693]
[243, -25.414945619952977]
[244, -20.73980360204531]
[245, -14.378486084805612]
[246, -6.7330646242338865]
[247, -0.020195461443556995]
[248, 0.3183709998701785]
[249, -0.35314031271762203]
[250, -0.38053889377198613]
[251, 0.06569906769246325]
[252, -0.4700677298601772]
[253, -0.015638890049907372]
[254, -0.008763751045603119]
[255, 0.28723454497145584]
[256, 1.456620098398936]
[257, -0.3405789786614275]
[258, -4.388229486358168]
[259, -7.867681230825674]
[260, -11.626785400002081]
[261, -15.667836890677776]
[262, -21.267639385825433]
[263, -25.340977965879155]
[264, -25.264870447973845]
[265, -24.008267211561094]
[266, -23.39520760928418]
[267, -21.34553456187585]
[268, -20.219164976334213]
[269, -20.56253277410299]
[270, -19.786153405795325]
[271, -19.348987053638552]
[272, -19.31746631206478]
[273, -18.95793412281009]
[274, -13.196711544133944]
[275, -5.95986092690282]
[276, -1.6956179253539578]
[277, -0.21322266391647363]
[278, 0.4190138006933253]
[279, 0.4925092511822785]
[280, 0.4973286635821269]
[281, -0.08650614938048395]
[282, -0.32531907662890913]
[283, -0.32605913570266437]
[284, -0.02357415166742094]
[285, -3.5306386669127994]
[286, -7.950451097809244]
[287, -13.489598273714163]
[288, -17.524906650512566]
[289, -20.432488792666803]
[290, -23.07123534197138]
[291, -23.63510412541302]
[292, -19.94477525719943]
[293, -16.77868776162015]
[294, -15.300675744414876]
[295, -12.15370819985277]
[296, -9.622250952270587]
[297, -8.543640130656366]
[298, -7.032448709709869]
[299, -7.091730629191151]
[300, -10.278887161034989]
[301, -16.81984884162626]
[302, -17.48736699846714]
[303, -13.128094892388184]
[304, -3.8116931381854]
[305, -0.48144231976593643]
[306, 0.10747892618114341]
[307, -0.22759667410919215]
[308, -0.06477052651959248]
[309, -0.019911394466794352]
[310, 0.2735009981920408]
[311, 0.7767987752357223]
[312, -1.591912304972872]
[313, -7.537738126508986]
[314, -12.193754541060523]
[315, -16.148136448870865]
[316, -17.442817131367907]
[317, -20.484182169218904]
[318, -19.1475926354171]
[319, -15.691037308303127]
[320, -11.596032186220906]
[321, -8.407737463274099]
[322, -5.58972413278115]
[323, -0.913812781226631]
[324, 1.681950769178197]
[325, 3.4818420807033736]
[326, 4.6930897646618845]
[327, 5.663689377388496]
[328, 2.1312695811453226]
[329, -11.470618833211109]
[330, -19.70092041405754]
[331, -16.578735141095724]
[332, -4.956115754302551]
[333, 0.26681555894879555]
[334, -0.4404336312762329]
[335, 0.3749033230832838]
[336, -0.036759005149886725]
[337, 0.17857693370477956]
[338, 1.6183521670563363]
[339, 1.9323020103050221]
[340, -2.5169244635407484]
[341, -8.440372308320834]
[342, -12.189489721577345]
[343, -12.479588926616895]
[344, -12.964006291855817]
[345, -12.096064830262598]
[346, -9.271896368630546]
[347, -3.709654791488462]
[348, 0.11432038008837328]
[349, 3.084076315495328]
[350, 8.223257682750488]
[351, 11.337608466079347]
[352, 15.292213033421163]
[353, 16.629526753987232]
[354, 17.34104933672484]
[355, 18.003910491638486]
[356, 11.74973268714488]
[357, -2.454396214980893]
[358, -15.76900196744619]
[359, -15.001448920643895]
[360, -4.860141813442988]
[361, 0.05153545149341514]
[362, 0.38977283267156926]
[363, -0.019561059944839254]
[364, 0.1563793047606994]
[365, -0.08866003806447531]
[366, 2.123389754752783]
[367, 1.8544430683618125]
[368, -2.3767440136980214]
[369, -7.677130421880696]
[370, -8.965707821605085]
[371, -5.706694662246312]
[372, -2.928085795130709]
[373, 4.146133797925874]
[374, 9.137766430881575]
[375, 16.250209397122994]
[376, 24.13399281510647]
[377, 29.075035715885633]
[378, 31.866006692195878]
[379, 33.626453699359594]
[380, 34.38483751932454]
[381, 32.378053971517474]
[382, 30.312204216542803]
[383, 29.619097191888915]
[384, 20.229270292745618]
[385, 1.74153990405236]
[386, -11.66669363922631]
[387, -12.147949470836476]
[388, -3.135261748167571]
[389, 0.07283164440600523]
[390, -0.3711720236344056]
[391, 0.03346248474323099]
[392, -0.29900276857906016]
[393, 0.480461416305475]
[394, -0.19699831548900665]
[395, 0.312859772624188]
[396, -1.6254969593696416]
[397, -7.171686932996698]
[398, -4.276380663140437]
[399, 2.9160451364043265]
[400, 12.91212087571731]
[401, 23.906864826689446]
[402, 32.25007985373136]
[403, 40.16225014747516]
[404, 43.32708440502524]
[405, 46.30423970017985]
[406, 46.84461029299491]
[407, 44.47113269609743]
[408, 39.30623917156106]
[409, 34.39832700747717]
[410, 32.28801412552179]
[411, 28.533836459091937]
[412, 17.628933842450774]
[413, -0.14265434290934076]
[414, -9.125507645010417]
[415, -8.206193261967023]
[416, -2.1103166295522824]
[417, 0.3834272023447697]
[418, 0.17607126223542502]
[419, -0.28079152656641004]
[420, 0.10747030035848293]
[421, -0.22125212388521476]
[422, -0.32868106570255895]
[423, -1.0917707459923935]
[424, -2.8291081765075012]
[425, -7.329205793535619]
[426, -2.6382591518997565]
[427, 4.246939674537654]
[428, 13.97444532260014]
[429, 25.630188183440684]
[430, 33.644085103876264]
[431, 39.283732399314296]
[432, 42.131963302509945]
[433, 41.71851130539085]
[434, 39.43894145655673]
[435, 35.17717031649516]
[436, 29.7270545107959]
[437, 24.143056597724645]
[438, 20.232645058652473]
[439, 13.633434512539187]
[440, 5.165781652505918]
[441, -8.811159584583795]
[442, -12.2706945095397]
[443, -5.0310714190602015]
[444, -1.5918325601395258]
[445, -0.5037008317198026]
[446, 0.4653347893963937]
[447, 0.45657911596087764]
[448, -0.2578879114952055]
[449, 0.10211728458777203]
[450, 0.016989950071189752]
[451, -1.0855856920524687]
[452, -6.9461630353606765]
[453, -11.3763505825599]
[454, -10.079049049242235]
[455, -3.721788287582987]
[456, 3.3261398839425653]
[457, 12.77645618675504]
[458, 17.364404076651173]
[459, 18.248407396757923]
[460, 18.086215316290286]
[461, 16.95771321050339]
[462, 15.946133732684082]
[463, 13.900899127314759]
[464, 12.544931102236635]
[465, 8.58395363719362]
[466, 4.5507114733790255]
[467, -3.5855182131732852]
[468, -9.335942824796017]
[469, -15.548735060957398]
[470, -15.463691875477199]
[471, -5.5086055122619975]
[472, -0.7001540449071751]
[473, -0.038432144077485596]
[474, 0.40116221960072374]
[475, 0.15280959510163006]
[476, 0.05919611739107622]
[477, -0.38075170821511806]
[478, 0.31234956384220913]
[479, -0.9862174751707244]
[480, -5.218059953152234]
[481, -13.186468445615287]
[482, -14.782481831825836]
[483, -12.158009141276146]
[484, -8.028921607014984]
[485, -2.7922131197497873]
[486, 1.5733508698897731]
[487, 2.00353656918298]
[488, 0.6819946643398324]
[489, 0.28699894940633053]
[490, -0.46991774196299196]
[491, -0.7470286136364912]
[492, -1.1199610619723084]
[493, -2.2704844075067365]
[494, -7.5669688287459405]
[495, -13.37483764293198]
[496, -16.10536200566303]
[497, -16.981595827105483]
[498, -12.237408561206912]
[499, -5.167405016679232]
[500, -0.8992376712634478]
[501, -0.429556574125567]
[502, -0.030062683503345622]
[503, 0.09970580038647925]
[504, 0.29583871074482093]
[505, 0.36331218954204314]
[506, 0.0005299308663799795]
[507, 0.36649004469300095]
[508, -4.0234933013209]
[509, -12.872299939435258]
[510, -18.136996063608755]
[511, -18.43781840842395]
[512, -16.81464274997602]
[513, -14.664193366651878]
[514, -11.167187594417578]
[515, -9.300323736465781]
[516, -7.429429996483361]
[517, -8.364627879695364]
[518, -7.832636312562748]
[519, -8.102101505394735]
[520, -10.615906559698477]
[521, -11.198111812358842]
[522, -14.530671757673126]
[523, -17.317737226769363]
[524, -17.23442810314344]
[525, -13.536137517105344]
[526, -9.531563890817111]
[527, -3.4454770441329874]
[528, -0.6233766345863763]
[529, -0.27115030810316604]
[530, -0.4945475231359443]
[531, 0.32643483747161517]
[532, 0.13215823232486412]
[533, -0.4588184377575133]
[534, -0.1673550043443386]
[535, 0.43840729558999847]
[536, -1.8801087458568577]
[537, -8.297203231279862]
[538, -14.468501089755952]
[539, -19.120467501040572]
[540, -20.992522006943357]
[541, -21.59703136942868]
[542, -20.23626292139211]
[543, -18.547399267857873]
[544, -16.7854448330881]
[545, -16.55897892715623]
[546, -17.458046678543646]
[547, -18.924206874098587]
[548, -16.768824671971988]
[549, -18.92919911415642]
[550, -18.658384393607147]
[551, -19.42240647821887]
[552, -15.80939131306791]
[553, -11.223857197647062]
[554, -5.172750901936331]
[555, -0.9802439591730145]
[556, 0.017000796346800504]
[557, 0.43200863665777767]
[558, 0.3184390455756557]
[559, 0.4329384150960056]
[560, -0.0877443395980354]
[561, 0.3500354838890648]
[562, -0.21993856380903487]
[563, -0.12447453909647661]
[564, -0.5201814521678614]
[565, -3.5548047260438844]
[566, -8.570273848098093]
[567, -14.299454591714987]
[568, -20.643966761734056]
[569, -23.980294588827007]
[570, -25.313590420271076]
[571, -26.13949027000826]
[572, -24.791560941549044]
[573, -24.14682997938471]
[574, -23.732465403847954]
[575, -24.55515997186633]
[576, -21.944174410794847]
[577, -21.382273254629432]
[578, -18.968264103728487]
[579, -16.026941650466572]
[580, -10.93290097528482]
[581, -6.231808581851096]
[582, -1.69752681958951]
[583, -0.3470548056168692]
[584, -0.28632489845248543]
[585, 0.46914697917514625]
[586, 0.35852798196520963]
[587, -0.04020917964327608]
[588, -0.09221678007955125]
[589, -0.203180015032551]
[590, 0.07601881700806967]
[591, -0.36530382650472387]
[592, -0.614579524784771]
[593, -1.2490432948892574]
[594, -4.6568121397472515]
[595, -9.4430153618252]
[596, -14.50027937643285]
[597, -19.2215557605125]
[598, -22.63512952855297]
[599, -24.93528609044408]
[600, -25.613327763772055]
[601, -24.971766786624766]
[602, -24.5619581323158]
[603, -23.160598485633013]
[604, -19.42163998900418]
[605, -17.524984461277036]
[606, -15.816446865564199]
[607, -13.293041389199331]
[608, -7.363567189092505]
[609, -3.083721147299344]
[610, -0.5876013109391016]
[611, 0.16752266920014428]
[612, 0.1430018275112156]
[613, -0.2698783102094676]
[614, 0.07242494623642837]
[615, 0.24039072375533022]
[616, 0.28268143369136667]
[617, -0.33561380200530555]
[618, -0.023701108583515484]
[619, 0.06437917645749229]
[620, 0.22689731876268898]
[621, 0.21433113018581781]
[622, -1.4775000158304488]
[623, -5.137467803331859]
[624, -8.70322282642824]
[625, -12.90510471497051]
[626, -16.956442317131003]
[627, -18.924225417290803]
[628, -20.037057771139267]
[629, -21.63669377513149]
[630, -20.522134045757753]
[631, -17.923512246390516]
[632, -13.969885773171125]
[633, -11.437550783589808]
[634, -9.383360143075848]
[635, -7.595114507794274]
[636, -3.816245371309517]
[637, -1.1030464300545872]
[638, -0.5536204433738043]
[639, -0.3971185140099631]
[640, -0.2076532847430559]
[641, 0.2956794359513186]
[642, 0.3705947286926927]
[643, 0.10155363764373637]
[644, -0.29911428210798274]
[645, -0.3794472110474968]
[646, 0.06276378068881572]
[647, -0.02526865931418516]
[648, -0.4231706733590457]
[649, 0.5336748578841869]
[650, -1.0011046544019628]
[651, -1.7201715224325558]
[652, -3.1895518098659377]
[653, -6.379606552134145]
[654, -8.247893346071542]
[655, -10.182644450365382]
[656, -11.733109583750881]
[657, -12.512856522998728]
[658, -13.556263738533431]
[659, -10.15346461785293]
[660, -6.3589941094169085]
[661, -4.487027138266823]
[662, -2.653323387339764]
[663, -2.592708332497999]
[664, -1.5584459630210874]
[665, -0.2443645398658532]
[666, 0.29780761119259475]
[667, 0.25340070095466516]
[668, 0.1949614257588722]
[669, 0.3642403159466804]
[670, 0.06073331447383845]
[671, -0.09180145825933128]
[672, 0.42513971886236446]
[673, 0.031190815876898648]
[674, -0.4843208875843622]
[675, 0.3234794096172695]
[676, -0.15911370619175835]
[677, 0.44208539041908196]
[678, -0.28768926073502427]
[679, -0.6888582809289279]
[680, -1.3660299040180834]
[681, -0.9453530254493941]
[682, -2.6392591399363985]
[683, -2.9107279609231926]
[684, -4.095961024237911]
[685, -3.727897133151621]
[686, -4.278355353668778]
[687, -3.8095230671201668]
[688, 0.5765289859071127]
[689, 1.2350684368229685]
[690, 2.799944089309253]
[691, -0.14069927556446793]
[692, -0.06638745176199187]
[693, -0.41681472325905755]
[694, -0.3438435302819174]
[695, 0.08826292283773085]
[696, -0.3598315307358676]
[697, -0.23629778004610835]
[698, 0.18514089773878595]
[699, -0.034094924194099874]
[700, 0.19059640802486255]
[701, -0.3681038514299434]
[702, 0.30451603260298576]
[703, -0.4905714409992239]
[704, 0.3006375914698626]
[705, -0.12428108473665855]
[706, 0.2626333983521093]
[707, 0.10489684543514977]
[708, -0.18628771850003709]
[709, -0.13702812361600572]
[710, -0.3898668881932546]
[711, -0.5699836387515294]
[712, -0.5851790148280989]
[713, -0.6626748741492086]
[714, 0.030830466262408672]
[715, -0.08251026411717942]
[716, 0.42440337785593557]
[717, 1.7074067126152332]
[718, 1.7686461702945167]
[719, 0.3253257371633097]
[720, -0.0170836077349088]
[721, -0.4968575069557467]
[722, -0.20491963996116525]
[723, -0.29318624183302466]
[724, 0.029056153621095038]
[725, -0.08206719897789982]
[726, -0.19649678401099369]
[727, 0.19179940522526995]
[728, -0.09065627175400937]
[729, -0.17856306736491445]
[730, 0.37524832384867135]
[731, -0.04791502742361531]
[732, -0.05291046172186631]
[733, -0.20654964571571433]
[734, 0.3138133371481657]
[735, 0.0312301479072431]
[736, -0.09187399622576364]
[737, -0.12865902423091458]
[738, 0.4116578699778005]
[739, -0.07104658777775652]
[740, -0.19912703234379814]
[741, 0.3828024449068772]
[742, -0.10911117328067788]
[743, -0.2914314132314849]
[744, -0.4527324062733924]
[745, 0.3411991623588796]
[746, 0.42530127336882095]
[747, 0.22102692616586883]
[748, 0.24096163879162813]
[749, -0.38245998362542444]
[750, 0.23535186469845726]
[751, 0.36412295162529174]
[752, 0.10775498650698523]
[753, 0.4512080171938142]
[754, 0.3778206048778482]
[755, 0.4196968848942354]
[756, 0.49661378031601355]
[757, -0.06567477270159039]
[758, -0.4556529392522085]
[759, -0.45110917773553694]
[760, 0.48115196681505723]
[761, -0.47957068167752936]
[762, 0.3787405718728807]
[763, 0.10907210859946948]
[764, 0.11628533421447174]
[765, -0.36797029113941027]
[766, 0.07634226814191614]
[767, 0.3619833935708504]
[768, 0.3465801452751669]
[769, -0.04683775565288539]
[770, 0.3306750480086783]
[771, -0.08260117640898224]
[772, 0.13299796595292823]
[773, 0.4579536428475842]
[774, 0.039592780054711785]
[775, -0.23398023927039913]
[776, 0.27867941390825246]
[777, 0.44377750657964155]
[778, 0.4549325070036634]
[779, 0.21755598871432846]
[780, 0.37707933305143215]
[781, 0.4930892634923383]
[782, -0.08881543363097566]
[783, -0.18856315975515614]
